Site_plot,Site,Plot,Acacia_bslar,Eucalyptus_bslar,Pine_bslar,Tot_bas_ar,Lat.deci..N.,Long.Deci..E.,Canopy,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,Meliaceae,Clitoria ternetea,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,Pteridium aquilinum,Fire,Foliage_density,TCI_2x2,Elevation,Slope,TRI,shlbfr5ha,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_5ha,TPI,Type1,Agerat_Eupat
BHC806_6,BHC806,6,0,0.182693959,0,0.182693959,10.1225169,77.1246564,60.8,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.934387088,1641,23.17795563,35.04283142,0,-0.667909779,-0.74424225,0.105360508,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,6,0,368,4,Eucalyptus,0
BHC806_7,BHC806,7,0,0.150170647,0,0.150170647,10.1228316,77.1243976,66.2,0,0,0,0,0,0,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,-11.10587692,1637,14.31596565,22,0,-0.447213549,-0.894427214,3.062871456,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,8,0,307,-3.75,Eucalyptus,0
BHC806_8,BHC806,8,0,0.116278601,0,0.116278601,10.0800949,77.1383448,57.2,0,0,6,0,0,0,27,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,21,-6.453895092,1510,32.61767197,50.55690002,0,-0.127164248,0.991881673,0.105360508,17.95000076,116.4,2152.4,25.85,10.75,59.2,23.4,296.2,7,0,0,-4.75,Eucalyptus,0
BHG797_1,BHG797,1,0,0.116962968,0,0.116962968,10.1192961,77.1172857,40,0,0,14,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,-2.231762886,1705,28.42500305,39.88734055,0,-0.172927412,-0.984934572,-0.182321563,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,4,0,0,-0.875,Eucalyptus,17
BHG797_2,BHG797,2,0,0.229461639,0,0.229461639,10.1197146,77.1170841,49.2,0,0,4,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,11.91855621,1737,19.86754608,30.33150101,0,-0.247833295,-0.968802693,-1.280933857,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,9,0,0,4.25,Eucalyptus,35
BHG797_3,BHG797,3,0,0.041133595,0,0.041133595,10.120235,77.1175104,34.4,0,0,0,0,0,0,40,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,16,5.789767265,1748,14.06235313,19.92485809,0,0.784045745,-0.620703044,-0.587786674,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,4,0,0,1.875,Eucalyptus,49
BHG797_4,BHG797,4,0,0.007647395,0,0.007647395,10.1202335,77.1168873,44.4,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,18.73361588,1755,15.19087791,26.53299904,0,-0.224859452,-0.974391208,-1.280933857,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,1,0,0,5.75,Eucalyptus,42
BHG797_5,BHG797,5,0,0.052186906,0,0.052186906,10.1202473,77.116265,40.4,0,0,1,0,0,0,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,13,10.78526115,1736,21.84312248,30.72458267,0,-0.827306273,-0.561751129,-0.587786674,16.95000076,107.6,2536.5,24.65,10.15,57.6,29.4,362.4,5,0,0,-1,Eucalyptus,16
BHH723_3,BHH723,3,0,0.231474949,0,0.231474949,10.1193693,77.050119,56,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,12,11.47455788,1632,14.27355289,23.32380676,0,0.934997525,0.354654238,-1.280933857,17.95000076,104.8,3206.6,25.65,11.35,60.5,33.5,415.2,6,0,0,4.5,Eucalyptus,7
BHH723_8,BHH723,8,0,0.142252688,0,0.142252688,10.1183483,77.0496765,57,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,-6.307291508,1620,26.7215004,37.74917221,0,-0.953459456,-0.301521252,-0.182321563,17.04999924,103.3,3305.2,24.85,10.55,61.1,33.9,420.1,2,0,0,0.625,Eucalyptus,18
BHH732_1,BHH732,1,0,0.033820425,0,0.033820425,10.1187597,77.0576571,68,0,0,0,0,0,0,17,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.994561195,1452,15.85041142,21.81742477,0,-0.83646119,-0.548026164,0.91629076,17.95000076,104.8,3206.6,25.65,11.35,60.5,33.5,415.2,2,0,199,0,Eucalyptus,17
BHH732_2,BHH732,2,0,0.033971623,0,0.033971623,10.119064,77.0577572,62.6,0,0,0,0,0,0,13,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,18,9.998913765,1459,11.61013126,23.08679199,0,-0.999200974,-0.039967661,-1.280933857,17.95000076,104.8,3206.6,25.65,11.35,60.5,33.5,415.2,2,0,169,5.375,Eucalyptus,13
BID778_1,BID778,1,0,0.142204942,0,0.142204942,10.0991072,77.0995552,74,0,0,0,0,0,0,29,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15.71419334,1603,17.85161781,27.56809807,0,0.063164855,-0.998003107,0.328504086,17.35000038,109.6,2612.6,25.25,10.55,59.5,28.2,354.5,2,0,0,4.25,Eucalyptus,29
