,Site_plot,Lat.deci..N.,Long.Deci..E.,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,UID1,Meliaceae,Clitoria ternetea,Berberis tinctoria,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,sp124858,Vincetoxicum sp,Sp12254,Sp120529,sp110222,sp105132,sp122024,sp124847,sp113255,pilea wightii,sp101440,Pteridium aquilinum,No_pic,Site,Tot_bas_ar,Canopy,Fire,TCI_2x2,Slope,TRI,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Ln_elevation,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_1ha,TPI,Type2,Moss,Elevation
135,BGI916_6,10.139978,77.2249388,0,0,5,0,0,0,30,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,BGI916,0.116374094,61.6,0,-6.753328323,16.47808838,26.64582443,-0.942990344,-0.332820088,-0.587786674,16.14999962,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.505492275,5,9.737314897,0,3.75,Eucalyptus,10,1818
136,BGI916_7,10.1404983,77.2250059,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,BGI916,0.135369237,63,0,10.06246471,22.88285255,34.04409027,-0.972387326,-0.233372854,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.509335266,7,9.996522419,0,3.625,Eucalyptus,10,1825
137,BGI916_8,10.1410662,77.2249545,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,BGI916,0.084192965,36.8,0,3.697415829,24.27043152,36.37306595,-0.890761925,0.454470233,-0.587786674,16.14999962,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.507690078,5,10.17210148,0,4.125,Eucalyptus,10,1822
138,BGK892_1,10.1392428,77.2038466,0,0,4,0,0,0,37,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,BGK892,0.097052684,68.2,0,3.417387247,18.2413044,26.07680893,-0.719401217,0.694594766,-0.182321563,16.95000076,116.4,2038.4,24.25,9.85,54.7,25.8,330.9,7.421177529,5,0,92,1,Eucalyptus,10,1671
139,BGL711_2,10.1389675,77.0393885,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,BGL711,0.100188037,60.8,0,19.01356888,12.33851433,18,-0.447213549,-0.894427214,-1.280933857,17.75,103.3,3409.5,25.45,11.25,61.6,34.2,420.5,7.336936914,4,10.69274005,90,1.75,Eucalyptus,10,1536
140,BGS746_1,10.1322662,77.0704758,0,0,3,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,BGS746,0.01529479,74.6,0,0.812843144,24.14198875,36.27671432,-0.054464508,-0.998515707,-0.182321563,17.25,104.9,3010.6,24.95,10.65,59.2,32.7,403.7,7.43838353,2,9.924270092,0,-4.75,Eucalyptus,10,1700
141,BGS746_2,10.132555,77.0704054,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,BGS746,0.019138382,77,0,6.466153622,25.46273804,39.19183731,-0.402164992,-0.915567212,-1.280933857,17.25,104.9,3010.6,24.95,10.65,59.2,32.7,403.7,7.44775128,2,9.609988595,0,1.75,Eucalyptus,10,1716
142,BGT732_1,10.1314226,77.0575743,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGT732,0.038992961,47.6,0.1,-10.29641533,7.055989742,10.29563046,-0.826926541,-0.562309965,0.328504086,17.85000038,103.7,3219.2,25.55,11.35,60.4,33.7,415.5,7.280008253,1,9.880679413,0,0,Eucalyptus,10,1451
143,BGT732_2,10.1318035,77.0576798,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGT732,0.082330852,63.8,0,-3.54192996,13.2205286,24.26932144,-0.99617471,0.087383901,-0.587786674,17.85000038,103.7,3219.2,25.55,11.35,60.4,33.7,415.5,7.282073658,5,10.0365751,0,-4.625,Eucalyptus,10,1454
144,BGW870_7,10.1280401,77.1828527,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BGW870,0.114591559,69.8,0,8.41054821,33.21886063,51.96152496,-0.267323063,0.963606963,0.105360508,15.35000038,111.9,2106.2,22.75,8.35,55.7,25.7,324.7,7.6666902,1,10.55066933,0,3.75,Acacia,10,2136
145,BGZ816_2,10.1259352,77.1342939,0,0,1,0,0,0,48,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGZ816,0.016910213,37.2,0,-6.948649883,31.02093887,50.13980484,0.720571868,-0.693380259,-0.587786674,16.64999962,110.3,2330.8,24.25,9.85,56.7,27.7,341.9,7.390798522,2,0,0,-6.25,Eucalyptus,10,1621
146,BHB840_1,10.1242109,77.156779,0,0,0,0,0,0,36,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,BHB840,0.502539691,75.6,0,-6.473779202,12.07318211,19.4935894,-0.687744661,0.725952672,0.664976239,17.75,112,2201.2,25.35,10.75,56.8,26,323.4,7.31521839,8,0,124,-3.25,Eucalyptus,10,1503
147,BHB840_2,10.123533,77.1557837,0,0,1,0,0,0,25,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,BHB840,0.83634331,79.2,0.2,10.50852871,5.656477451,26.24880981,-0.784882788,-0.61964426,-1.280933857,17.75,112,2201.2,25.35,10.75,56.8,26,323.4,7.323170718,13,0,101,6.875,Eucalyptus,10,1515
148,BHC806_2,10.1232934,77.1246716,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BHC806,0.187500438,42.8,0,-15.02016354,25.45093918,38.1051178,-0.222360288,-0.974964565,2.120263577,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.41517511,8,0,0,-4.25,Eucalyptus,10,1661
149,BHC806_3,10.1222759,77.1255558,0,0,3,0,0,0,37,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,BHC806,0.203789947,60.4,0,11.87055874,29.81654167,45.16635895,-0.19884675,-0.980030597,-0.182321563,17.64999962,110.4,2384.8,25.35,10.85,57.2,28.1,344.9,7.401841579,7,0,96,3.25,Eucalyptus,10,1639
150,BHC806_5,10.1222938,77.1246311,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,BHC806,0.147990224,46.8,0.2,1.887758374,24.0163002,34.81378937,-0.734099393,-0.679042032,-0.587786674,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.394493107,7,0,125,-2,Eucalyptus,10,1627
151,BHC806_6,10.1225169,77.1246564,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BHC806,0.182693959,60.8,0,1.934387088,23.17795563,35.04283142,-0.667909779,-0.74424225,0.105360508,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.403061091,6,0,113,4,Eucalyptus,10,1641
152,BHC806_7,10.1228316,77.1243976,0,0,0,0,0,0,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BHC806,0.150170647,66.2,0,-11.10587692,14.31596565,22,-0.447213549,-0.894427214,3.062871456,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.400620577,8,0,0,-3.75,Eucalyptus,10,1637
153,BHC806_8,10.0800949,77.1383448,0,0,6,0,0,0,27,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,BHC806,0.116278601,57.2,0,-6.453895092,32.61767197,50.55690002,-0.127164248,0.991881673,0.105360508,17.95000076,116.4,2152.4,25.85,10.75,59.2,23.4,296.2,7.31986493,7,0,0,-4.75,Eucalyptus,10,1510
154,BHG797_1,10.1192961,77.1172857,0,0,14,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,BHG797,0.116962968,40,0,-2.231762886,28.42500305,39.88734055,-0.172927412,-0.984934572,-0.182321563,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.44132039,4,0,0,-0.875,Eucalyptus,10,1705
155,BHG797_2,10.1197146,77.1170841,0,0,4,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,BHG797,0.229461639,49.2,0,11.91855621,19.86754608,30.33150101,-0.247833295,-0.968802693,-1.280933857,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.459914766,9,0,0,4.25,Eucalyptus,10,1737
156,BHG797_3,10.120235,77.1175104,0,0,0,0,0,0,40,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,BHG797,0.041133595,34.4,0,5.789767265,14.06235313,19.92485809,0.784045745,-0.620703044,-0.587786674,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7.466227556,4,0,0,1.875,Eucalyptus,10,1748
